,attacker,attacker,attacker,attacker,actor,actor,actor,actor
count,1,2,3,4,1,2,3,4
isqno,,,,,,,,
491,0,1,,,Germany,USSR,,
492,0,1,,,Germany,USSR,,
493,1,0,,,Germany,USSR,,
494,1,0,,,Germany,USSR,,
495,1,0,,,Germany,USSR,,
496,1,0,,,Germany,USSR,,
497,0,1,,,Germany,USSR,,
498,0,1,,,Germany,USSR,,
499,0,1,,,Germany,USSR,,
500,0,1,,,Germany,USSR,,
501,0,1,,,Germany,USSR,,
502,0,1,,,Germany,USSR,,
503,0,1,,,Germany,USSR,,
504,0,1,,,Germany,USSR,,
505,0,1,,,Germany,USSR,,
506,0,1,,,Germany,USSR,,
507,0,1,,,Germany,USSR,,
508,0,1,,,Germany,USSR,,
509,0,1,,,Germany,USSR,,
510,0,1,,,Germany,USSR,,
511,0,1,,,Germany,USSR,,
512,0,1,,,Germany,USSR,,
513,0,1,,,Germany,USSR,,
514,0,1,,,Germany,USSR,,
515,0,1,,,Germany,USSR,,
516,0,1,,,Japan,USSR,,
517,0,1,,,Japan,USA,,
518,0,1,,,Japan,USA,,
519,0,1,,,Japan,USA,,
520,0,1,,,Japan,USA,,
521,0,1,,,Japan,USA,,
522,0,1,,,Japan,USA,,
523,0,1,,,Japan,USA,,
524,0,1,,,Japan,USA,,
525,0,1,,,Japan,USA,,
526,0,1,,,Japan,USA,,
527,0,1,,,Japan,USA,,
528,1,0,,,Japan,USA,,
529,0,1,,,Japan,USA,,
530,0,1,,,Japan,USA,,
531,1,0,,,Japan,USA,,
532,0,1,,,Japan,USA,,
533,0,1,,,Japan,USA,,
534,0,1,,,Japan,USA,,
535,0,1,,,Japan,USA,,
536,0,1,,,Japan,USA,,
537,0,1,,,Japan,USA,,
538,0,1,,,Japan,USA,,
539,0,1,,,Japan,USA,,
540,0,1,,,Japan,USA,,
541,0,1,,,Japan,USA,,
542,0,1,,,Japan,USA,,
543,0,1,,,Japan,USA,,
544,0,1,,,Japan,USA,,
545,0,1,,,Japan,USA,,
546,0,1,,,Japan,USA,,
547,0,1,,,Japan,USA,,
548,0,1,,,Japan,USA,,
549,1,0,,,Israel,Jordan,,
550,1,0,,,Israel,Jordan,,
551,1,0,,,Israel,Jordan,,
552,1,0,,,Israel,Jordan,,
553,1,0,,,Israel,Jordan,,
554,0,1,,,Egypt,Israel,,
555,0,1,,,Egypt,Israel,,
556,0,1,,,Egypt,Israel,,
557,0,1,,,Egypt,Israel,,
558,0,1,,,Egypt,Israel,,
559,1,0,,,Israel,Palestine,,
560,0,1,,,Egypt,Israel,,
561,1,0,,,Egypt,Israel,,
562,0,1,,,Egypt,Israel,,
563,0,1,,,Egypt,Israel,,
564,1,0,,,Egypt,Israel,,
565,1,0,,,Israel,Syria,,
566,1,0,,,Israel,Syria,,
567,1,0,,,Israel,Syria,,
568,1,0,,,Israel,Jordan,,
569,1,0,,,Egypt,Israel,,
570,1,0,,,Egypt,Israel,,
571,1,0,,,Egypt,Israel,,
572,1,0,,,Egypt,Israel,,
573,0,1,,,Egypt,Israel,,
574,1,0,,,Egypt,Israel,,
575,1,0,,,Egypt,Israel,,
576,0,1,,,Egypt,Israel,,
577,0,1,,,Egypt,Israel,,
578,0,1,,,Egypt,Israel,,
579,0,1,,,Egypt,Israel,,
580,0,1,,,Egypt,Israel,,
581,0,1,,,Egypt,Israel,,
582,0,1,,,Egypt,Israel,,
583,0,1,,,Egypt,Israel,,
584,0,1,,,Egypt,Israel,,
585,0,1,,,Israel,Syria,,
586,0,1,,,Israel,Syria,,
587,0,1,,,Israel,Syria,,
588,0,1,,,Israel,Syria,,
589,0,1,,,Israel,Syria,,
590,1,0,,,Israel,Syria,,
591,1,0,,,Israel,Syria,,
592,0,1,,,Israel,Syria,,
593,1,0,,,Israel,Syria,,
594,1,0,,,Israel,Syria,,
595,1,0,,,Israel,Syria,,
596,1,0,,,Iraq,Israel,,
597,0,1,,,Israel,Israel,,
598,0,1,,,Israel,Jordan,,
599,0,1,,,Israel,Syria,,
600,1,0,,,Israel,Syria,,
601,1,0,,,Israel,Syria,,
602,1,0,,,Germany,USA,,
603,0,1,,,Germany,USA,,
604,1,0,,,Germany,USA,,
605,0,1,,,Germany,USA,,
606,0,1,,,Germany,USA,,
607,0,1,,,Germany,USA,,
608,0,1,,,Germany,USA,,
609,1,0,,,Germany,USA,,
610,1,0,,,Germany,USA,,
611,1,0,,,Germany,USA,,
612,1,0,,,Germany,USA,,
613,1,0,,,Germany,USA,,
614,0,1,,,Germany,USA,,
615,0,1,,,Germany,USA,,
616,0,1,,,Germany,USA,,
617,0,1,,,Germany,USA,,
618,1,0,,,Germany,USA,,
619,1,0,,,Germany,USA,,
620,1,0,,,Germany,USA,,
621,1,0,,,Germany,USA,,
622,1,0,,,Germany,USA,,
623,1,0,,,Germany,USA,,
624,1,0,,,Germany,USA,,
625,1,0,,,Germany,USA,,
626,1,0,,,North Korea,USA,,
627,0,1,,,North Korea,USA,,
628,0,1,,,North Korea,USA,,
629,0,1,,,North Korea,USA,,
630,0,1,,,North Korea,USA,,
631,0,1,,,North Korea,USA,,
632,0,1,,,North Korea,USA,,
633,0,1,,,North Korea,USA,,
634,1,0,,,North Korea,USA,,
635,1,0,,,North Korea,USA,,
636,0,1,,,North Korea,USA,,
637,0,1,,,Germany,USSR,,
638,0,1,,,Israel,Syria,,
639,0,1,,,Israel,Syria,,
640,1,0,,,Israel,Syria,,
641,1,0,,,Israel,Syria,,
642,1,0,,,Israel,Syria,,
643,1,0,,,Israel,Syria,,
644,0,1,,,Germany,Great Britain,,
645,1,0,,,Israel,Syria,,
646,0,1,,,Egypt,Israel,,
647,0,1,,,Egypt,Israel,,
648,0,1,,,Egypt,Israel,,
649,0,1,,,Egypt,Israel,,
650,0,1,,,Egypt,Israel,,
651,0,1,,,Egypt,Israel,,
652,0,1,,,Egypt,Israel,,
653,0,1,,,Egypt,Israel,,
654,1,0,,,North Vietnam,South Vietnam,,
655,1,0,,,Israel,Jordan,,
656,1,0,,,Israel,Jordan,,
657,0,1,,,France,Germany,,
658,0,1,,,France,Germany,,
659,0,1,,,Germany,Great Britain,,
660,1,0,,,France,Germany,,
