isqno,War,Battle Name,Location,Campaign,Attacker Win,Dry/Wet,High/Low Precipitaton/Sunny/Cloudy,"Temperature (Hot, Cold, Temperate)",Season,Tropical/Desert/Temperate,Attacker 1,Attacker 2,Attacker 3,Attacker 4,Actor 1,Actor 2,Actor 3,Actor 4
51.0,WAR OF THE SPANISH SUCCESSION,RAMILLIES,SPANISH NETHERLANDS,RAMILLIES,1.0,D,S,T,$,T,0.0,1.0,0.0,,Bavaria,England,France,
52.0,WAR OF THE SPANISH SUCCESSION,OUDENARDE,SPANISH NETHERLANDS,OUDENARDE,1.0,D,S,T,S,T,1.0,0.0,1.0,,England,France,Holy Roman Empire,
53.0,WAR OF THE SPANISH SUCCESSION,MALPLAQUET,SPANISH NETHERLANDS,MALPLAQUET,1.0,D,S,T,F,T,1.0,0.0,1.0,,England,France,Holy Roman Empire,
54.0,AUSTRO-TURKISH WAR,PETERWARDEIN,KINGDOM OF HUNGARY,HUNGARY 1716,1.0,D,S,T,S,T,1.0,0.0,,,Habsburg Empire,Ottoman Empire,,
55.0,WAR OF THE AUSTRIAN SUCCESSION,MOLLWITZ,SILESIA,SILESIAN,-1.0,W,L,C,$,T,1.0,0.0,,,Habsburg Empire,Prussia,,
56.0,WAR OF THE AUSTRIAN SUCCESSION,CHOTUSITZ,BOHEMIA,BOHEMIA 1742,-1.0,D,S,T,$,T,1.0,0.0,,,Habsburg Empire,Prussia,,
57.0,WAR OF THE AUSTRIAN SUCCESSION,DETTINGEN,BAVARIA,DETTINGEN,1.0,D,S,T,S,T,0.0,1.0,,,France,Great Britain,,
58.0,WAR OF THE AUSTRIAN SUCCESSION,FONTENOY,AUSTRIAN NETHERLANDS,FONTENOY,-1.0,D,S,T,$,T,0.0,1.0,,,France,Great Britain,,
59.0,WAR OF THE AUSTRIAN SUCCESSION,HOHENFRIEDBERG,SILESIA,HOHENFRIEDBERG,1.0,D,S,T,S,T,0.0,1.0,,,Habsburg Empire,Prussia,,
60.0,WAR OF THE AUSTRIAN SUCCESSION,SOOR,SILESIA,SOOR,1.0,D,S,T,F,T,0.0,1.0,,,Habsburg Empire,Prussia,,
61.0,WAR OF THE AUSTRIAN SUCCESSION,KESSELDORF,SAXONY,ELBE,1.0,D,S,T,W,T,1.0,0.0,,,Prussia,Saxony,,
62.0,JACOBITE REBELLION,PRESTONPANS,SCOTLAND,PRESTONPANS,1.0,D,S,T,F,T,0.0,1.0,,,Great Britain,Jacobites,,
63.0,JACOBITE REBELLION,CULLODEN,SCOTLAND,CULLODEN,-1.0,W,L,C,$,T,0.0,1.0,,,Great Britain,Jacobites,,
64.0,THE SEVEN YEAR'S WAR,LOBOSITZ,BOHEMIA,PIRNA-LOBOSITZ,1.0,D,S,T,F,T,0.0,1.0,,,Austria,Prussia,,
65.0,THE SEVEN YEAR'S WAR,PRAGUE,BOHEMIA,BOHEMIA 1757,1.0,D,S,T,S,T,0.0,1.0,,,Austria,Prussia,,
66.0,THE SEVEN YEAR'S WAR,PLASSEY,BENGAL,W BENGAL,-1.0,W,H,T,S,E,1.0,0.0,,,Bengal,Great Britain,,
67.0,THE SEVEN YEAR'S WAR,KOLIN,BOHEMIA,BOHEMIA 1757,-1.0,D,S,T,S,T,0.0,1.0,,,Austria,Prussia,,
68.0,THE SEVEN YEAR'S WAR,HASTENBECK,HONAOVER,HASTENBECK,1.0,D,S,H,S,T,1.0,0.0,,,France,Great Britain,,
69.0,THE SEVEN YEAR'S WAR,ROSSBACH,SAXONY,ROSSBACH,-1.0,D,S,T,F,T,1.0,1.0,0.0,,Austria,France,Prussia,
70.0,THE SEVEN YEAR'S WAR,LEUTHEN,SILESIA,LEUTHEN,1.0,W,L,T,W,T,0.0,1.0,,,Austria,Prussia,,
71.0,THE SEVEN YEAR'S WAR,CREFELD,WESTPHALIA,RHINELAND 1758,1.0,D,S,T,S,T,0.0,1.0,,,France,Hanover,,
72.0,THE SEVEN YEAR'S WAR,ZORNDORF,PRUSSIA,ZORNDORF,1.0,D,S,T,S,T,1.0,0.0,,,Prussia,Russia,,
73.0,THE SEVEN YEAR'S WAR,HOCHKIRCH,SAXONY,HOCHKIRK,1.0,W,L,T,F,T,1.0,0.0,,,Austria,Prussia,,
74.0,THE SEVEN YEAR'S WAR,BERGEN,RHINELAND,BERGEN,-1.0,D,S,T,S,T,0.0,1.0,,,France,Hanover,,
75.0,THE SEVEN YEAR'S WAR,MINDEN,RHINELAND,MINDEN,1.0,W,H,T,F,T,0.0,1.0,,,France,Hanover,,
76.0,THE SEVEN YEAR'S WAR,KUNERSDORF,PRUSSIA,KUNERSDORF,-1.0,D,S,H,S,T,1.0,0.0,,,Prussia,Russia,,
77.0,THE SEVEN YEAR'S WAR,PLAINS OF ABRAHAM (QUEBEC),CANADA,QUEBEC,-1.0,D,S,T,F,T,1.0,0.0,,,France,Great Britain,,
78.0,THE SEVEN YEAR'S WAR,MAXEN,SAXONY,MAXEN,1.0,D,S,T,F,T,1.0,0.0,,,Austria,Prussia,,
79.0,THE SEVEN YEAR'S WAR,WARBURG,WESTPHALIA,HONOVER 1760,1.0,W,L,T,S,T,0.0,1.0,,,France,Hanover,,
80.0,THE SEVEN YEAR'S WAR,LIEGNITZ,SILESIA,SILESIA 1760,-1.0,D,S,T,S,T,1.0,0.0,,,Austria,Prussia,,
81.0,THE SEVEN YEAR'S WAR,TORGAU,SILESIA,SILESIA 1760,1.0,W,L,C,F,T,0.0,1.0,,,Austria,Prussia,,
82.0,AMERICAN REVOLUTION,BUNKER HILL,MASSACHUSETTS,SIEGE OF BOSTON,1.0,D,S,T,S,T,1.0,0.0,,,Great Britain,USA,,
83.0,AMERICAN REVOLUTION,QUEBEC,CANADA,CANADA INVASION 1775-76,-1.0,W,L,C,W,T,0.0,1.0,,,Great Britain,USA,,
84.0,AMERICAN REVOLUTION,WHITE PLAINS,NEW YORK,NEW YORK 1776,1.0,D,S,T,F,T,1.0,0.0,,,Great Britain,USA,,
85.0,AMERICAN REVOLUTION,TRENTON,NEW JERSEY,NEW JERSEY 1776-77,1.0,W,L,C,W,T,0.0,1.0,,,Great Britain,USA,,
86.0,AMERICAN REVOLUTION,PRINCETON,NEW JERSEY,NEW JERSEY 1776-77,1.0,D,,C,W,T,0.0,1.0,,,Great Britain,USA,,
87.0,AMERICAN REVOLUTION,FREEMAN'S FARM,NEW YORK,SARATOGA,0.0,D,S,T,F,T,1.0,0.0,,,Great Britain,USA,,
88.0,AMERICAN REVOLUTION,GERMANTOWN,PENNSYLVANIA,PHILADELPHIA 1777-78,-1.0,W,L,T,F,T,0.0,1.0,,,Great Britain,USA,,
89.0,AMERICAN REVOLUTION,BEMIS HEIGHTS,NEW YORK,SARATOGA,-1.0,D,S,T,F,T,1.0,0.0,,,Great Britain,USA,,
90.0,AMERICAN REVOLUTION,MONMOUTH COURT HOUSE,NEW JERSEY,NEW JERSEY 1778,0.0,D,S,H,S,T,1.0,0.0,,,Great Britain,USA,,
91.0,AMERICAN REVOLUTION,CAMDEN,SOUTH CAROLINA,CAMDEN,1.0,D,S,T,S,T,1.0,0.0,,,Great Britain,USA,,
92.0,AMERICAN REVOLUTION,COWPENS,SOUTH CAROLINA,SOUTHERN 1780-81,-1.0,D,S,T,W,T,1.0,0.0,,,Great Britain,USA,,
93.0,AMERICAN REVOLUTION,GUILFORD COURT HOUSE,NORTH CAROLINA,SOUTHERN 1780-81,1.0,D,S,T,$,T,1.0,0.0,,,Great Britain,USA,,
94.0,AMERICAN REVOLUTION,HOBKIRK'S HILL,SOUTH CAROLINA,SOUTHERN 1780-81,1.0,D,S,T,$,T,1.0,0.0,,,Great Britain,USA,,
95.0,AMERICAN REVOLUTION,EUTAW SPRINGS,SOUTH CAROLINA,SOUTHERN 1780-81,-1.0,D,S,T,F,T,0.0,1.0,,,Great Britain,USA,,
